Word,Count
sherbet,234
wontons,233
rigatoni,232
chew,229
blt,226
gyro,225
porridge,225
jams,224
garnishes,220
pastries,217
linguini,216
semolina,213
flatbread,213
hocks,212
gyros,211
cocktails,209
tidbits,209
stout,208
raita,207
pasty,207
jerky,207
bisque,203
decaf,201
swordfish,198
currant,197
peppercorn,196
omelets,193
muenster,192
parfait,192
porkchops,192
chocolates,191
fondant,191
cheeseburger,190
bratwurst,188
cling,188
tempura,186
toasts,185
vintage,185
prune,183
compote,182
falafel,181
gingersnaps,181
collards,180
milkshake,177
calamari,174
rutabaga,172
gingersnap,171
limeade,171
torte,170
latte,169
malted,169
tapenade,167
macaroons,167
brioche,166
stilton,166
diets,165
flavouring,165
schnitzel,164
teas,163
colouring,161
gazpacho,160
ramekin,159
baba,158
seltzer,158
honeydew,158
paella,157
margaritas,156
latkes,156
baguettes,153
popsicle,152
marzipan,151
julienne,151
muesli,150
pepsi,150
meatloaves,149
croissant,148
ouzo,147
syrups,145
baklava,145
squid,144
rinds,144
blanc,140
sweetening,138
popovers,136
carbonara,135
prawn,134
antipasto,131
shank,130
whisky,129
farfalle,129
takeout,127
suppers,126
appetiser,126
pastrami,125
butters,124
cuke,123
albacore,123
sundae,123
consomme,118
doughs,118
meringues,117
salsas,116
chevre,116
tuck,116
sweeteners,115
frostings,115
roquefort,114
pastas,114
cappuccino,114
ratatouille,114
booze,113
moussaka,113
souvlaki,109
hay,108
borscht,107
popover,107
vinegars,107
chillis,105
ladyfingers,105
cobs,104
spareribs,103
macaroon,100
coffeecake,100
croquettes,100
breadstick,100
hams,100
kabob,98
shellfish,98
dainty,98
pasties,97
escarole,97
giblets,96
liqueurs,95
marmite,95
goody,95
grouper,94
tabbouleh,93
kasha,93
beverages,92
cordial,92
spirits,91
matzoh,91
raviolis,91
fettuccini,90
sherbert,90
omelettes,90
popsicles,89
cuppa,88
curds,88
shortcakes,87
kirsch,87
tostada,87
rutabagas,86
glazes,85
camembert,85
mussel,84
cannelloni,84
chowders,83
cookouts,83
sardines,82
radicchio,82
tostadas,82
jellies,81
porterhouse,81
fritter,80
cutlet,80
samosas,79
beers,78
strudel,78
gingerroot,78
edam,78
fixings,77
drumstick,77
gherkins,76
wines,75
tetrazzini,75
kebab,75
pralines,75
bangers,75
crouton,74
caviar,73
twinkies,72
quail,71
sockeye,71
jellyroll,71
lobsters,70
flavourings,70
confection,69
treacle,69
oktoberfest,68
bosc,68
beefsteak,68
fizz,68
entrees,67
halal,67
melons,67
octopus,66
mcintosh,66
milks,66
tonic,66
borsch,65
conserve,65
ration,64
frittatas,64
brunches,64
confit,64
barbecues,63
cortland,63
swizzle,63
cheeseburgers,63
lychee,63
cuisines,63
martinis,62
herring,61
chianti,61
bearnaise,61
linguica,61
whitefish,61
clings,61
coffees,60
parfaits,60
vino,60
sauerbraten,60
crumpets,60
beignets,59
bitters,58
meatloafs,58
rissoles,57
custards,57
swallow,57
toddy,57
vegs,56
citron,56
matzah,56
spud,56
calvados,56
rarebit,55
hoagies,55
taffy,54
suet,54
lasagnas,53
biryani,53
honeys,52
tartlets,52
liquors,52
chucks,51
takeaway,51
